underlying,expiration,trade_date,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate
SPY,2017-06-16,2017-06-15,243.15199999585747,0.10080479222113699,0.10247979723331826,0.10164574505538496
SPY,2017-06-16,2017-06-16,242.63999938964844,0,0,0
SPY,2017-06-23,2017-06-16,242.7089999884367,0.06674589147452722,0.06821876340413503,0.06748634568977165
SPY,2017-06-23,2017-06-19,244.65700001120567,0.06674589147452722,0.06821876340413503,0.06748634568977165
SPY,2017-06-23,2017-06-20,243.2559999987483,0.06674589147452722,0.06821876340413503,0.06748634568977165
SPY,2017-06-23,2017-06-21,242.92700000554322,0.06674589147452722,0.06821876340413503,0.06748634568977165
SPY,2017-06-23,2017-06-22,242.74900000989436,0.06674589147452722,0.06821876340413503,0.06748634568977165
SPY,2017-06-23,2017-06-23,243.16000366210938,0,0,0
SPY,2017-06-30,2017-06-23,243.28799998909236,0.07168324035865252,0.07360693036742733,0.07265145265729944
SPY,2017-06-30,2017-06-26,243.3189999781549,0.07168324035865252,0.07360693036742733,0.07265145265729944
SPY,2017-06-30,2017-06-27,241.53499999269843,0.07168324035865252,0.07360693036742733,0.07265145265729944
SPY,2017-06-30,2017-06-28,243.60799999181182,0.07168324035865252,0.07360693036742733,0.07265145265729944
SPY,2017-06-30,2017-06-29,241.5889999879524,0.07168324035865252,0.07360693036742733,0.07265145265729944
SPY,2017-06-30,2017-06-30,241.7899932861328,0,0,0
SPY,2017-07-07,2017-06-30,241.93699999451638,0.09156649675547339,0.09333221078388677,0.09245356915197485
SPY,2017-07-07,2017-07-03,242.1840000271797,0.09156649675547339,0.09333221078388677,0.09245356915197485
SPY,2017-07-07,2017-07-05,242.73600000441076,0.09156649675547339,0.09333221078388677,0.09245356915197485
SPY,2017-07-07,2017-07-06,240.77199999839067,0.09156649675547339,0.09333221078388677,0.09245356915197485
SPY,2017-07-07,2017-07-07,242.10000610351562,0,0,0
SPY,2017-07-14,2017-07-07,242.1490000128746,0.07768314698899288,0.07912189278113756,0.07840582007537228
SPY,2017-07-14,2017-07-10,242.3529999911785,0.07768314698899288,0.07912189278113756,0.07840582007537228
SPY,2017-07-14,2017-07-11,242.27699999660254,0.07768314698899288,0.07912189278113756,0.07840582007537228
SPY,2017-07-14,2017-07-12,243.97100000604988,0.07768314698899288,0.07912189278113756,0.07840582007537228
SPY,2017-07-14,2017-07-13,244.38900000657887,0.07768314698899288,0.07912189278113756,0.07840582007537228
SPY,2017-07-14,2017-07-14,245.50999450683594,0,0,0
SPY,2017-07-21,2017-07-14,245.48700000941753,0.06596355282467474,0.06747464549871546,0.06672337703695376
SPY,2017-07-21,2017-07-17,245.69999999701977,0.06596355282467474,0.06747464549871546,0.06672337703695376
SPY,2017-07-21,2017-07-18,245.63800001442434,0.06596355282467474,0.06747464549871546,0.06672337703695376
SPY,2017-07-21,2017-07-19,246.99000000357628,0.06596355282467474,0.06747464549871546,0.06672337703695376
SPY,2017-07-21,2017-07-20,247.09900000467897,0.06596355282467474,0.06747464549871546,0.06672337703695376
SPY,2017-07-21,2017-07-21,246.8300018310547,0,0,0
SPY,2017-07-28,2017-07-21,246.91700001060963,0.06044990265538642,0.06188314256347831,0.061170720383928276
SPY,2017-07-28,2017-07-24,246.72199999392032,0.06044990265538642,0.06188314256347831,0.061170720383928276
SPY,2017-07-28,2017-07-25,247.32299999296666,0.06044990265538642,0.06188314256347831,0.061170720383928276
SPY,2017-07-28,2017-07-26,247.44199999421835,0.06044990265538642,0.06188314256347831,0.061170720383928276
SPY,2017-07-28,2017-07-27,246.88400001823902,0.06044990265538642,0.06188314256347831,0.061170720383928276
SPY,2017-07-28,2017-07-28,246.88999938964844,0,0,0
SPY,2017-08-04,2017-07-28,247.0079999834299,0.06838966131740745,0.06984148424079667,0.06911938474866203
SPY,2017-08-04,2017-07-31,246.84099999070168,0.06838966131740745,0.06984148424079667,0.06911938474866203
SPY,2017-08-04,2017-08-01,247.3019999936223,0.06838966131740745,0.06984148424079667,0.06911938474866203
SPY,2017-08-04,2017-08-02,247.43499998673798,0.06838966131740745,0.06984148424079667,0.06911938474866203
SPY,2017-08-04,2017-08-03,247.27000000905247,0.06838966131740745,0.06984148424079667,0.06911938474866203
SPY,2017-08-04,2017-08-04,247.38999938964844,0,0,0
SPY,2017-08-11,2017-08-04,247.42200001478196,0.06932986720604946,0.0708942133734126,0.07011640313308792
SPY,2017-08-11,2017-08-07,247.9039999946952,0.06932986720604946,0.0708942133734126,0.07011640313308792
SPY,2017-08-11,2017-08-08,247.38200000375508,0.06932986720604946,0.0708942133734126,0.07011640313308792
SPY,2017-08-11,2017-08-09,247.3699999935925,0.06932986720604946,0.0708942133734126,0.07011640313308792
SPY,2017-08-11,2017-08-10,244.07499997913837,0.06932986720604946,0.0708942133734126,0.07011640313308792
SPY,2017-08-11,2017-08-11,244.11000061035156,0,0,0
SPY,2017-08-18,2017-08-11,244.23200001716614,0.13920356192397051,0.14075237412564665,0.1399801101484184
SPY,2017-08-18,2017-08-14,246.55299998521804,0.13920356192397051,0.14075237412564665,0.1399801101484184
SPY,2017-08-18,2017-08-15,246.59000001251698,0.13920356192397051,0.14075237412564665,0.1399801101484184
SPY,2017-08-18,2017-08-16,246.90299999266864,0.13920356192397051,0.14075237412564665,0.1399801101484184
SPY,2017-08-18,2017-08-17,243.2020000129938,0.13920356192397051,0.14075237412564665,0.1399801101484184
SPY,2017-08-18,2017-08-18,242.7100067138672,0,0,0
SPY,2017-08-25,2017-08-18,242.9520000219345,0.11821833136897127,0.12003646001107274,0.11913086418651919
SPY,2017-08-25,2017-08-21,243.08999999761582,0.11821833136897127,0.12003646001107274,0.11913086418651919
SPY,2017-08-25,2017-08-22,245.3600000023842,0.11821833136897127,0.12003646001107274,0.11913086418651919
SPY,2017-08-25,2017-08-23,244.50600000023843,0.11821833136897127,0.12003646001107274,0.11913086418651919
SPY,2017-08-25,2017-08-24,244.31299999393522,0.11821833136897127,0.12003646001107274,0.11913086418651919
SPY,2017-08-25,2017-08-25,244.52000427246094,0,0,0
SPY,2017-09-01,2017-08-25,244.71299999952316,0.07948760488435809,0.08076664924869532,0.08012967914921913
SPY,2017-09-01,2017-08-28,244.7170000195503,0.07948760488435809,0.08076664924869532,0.08012967914921913
SPY,2017-09-01,2017-08-29,244.99900001585485,0.07948760488435809,0.08076664924869532,0.08012967914921913
SPY,2017-09-01,2017-08-30,246.0650000050664,0.07948760488435809,0.08076664924869532,0.08012967914921913
SPY,2017-09-01,2017-08-31,247.38299999013543,0.07948760488435809,0.08076664924869532,0.08012967914921913
SPY,2017-09-01,2017-09-01,247.89999389648438,0,0,0
SPY,2017-09-08,2017-09-01,247.89900000989437,0.07120000748929152,0.07329431579407292,0.07225474999678726
SPY,2017-09-08,2017-09-05,246.33799998760225,0.07120000748929152,0.07329431579407292,0.07225474999678726
SPY,2017-09-08,2017-09-06,246.89900000542403,0.07120000748929152,0.07329431579407292,0.07225474999678726
SPY,2017-09-08,2017-09-07,246.98300000429154,0.07120000748929152,0.07329431579407292,0.07225474999678726
SPY,2017-09-08,2017-09-08,246.5399932861328,0,0,0
